id,true_labels,pred_labels,score_sports,score_news,score_finance,score_tech
S001,sports|finance|news,sports|news|finance,0.69,0.94,0.99,0.34
S002,news|sports|tech,news|sports,0.45,0.62,0.61,0.2
S003,sports,news|finance,0.45,0.18,0.77,0.62
S001,finance,sports,0.24,0.35,0.08,0.91
S005,news|sports,sports|finance|tech,0.65,0.41,0.16,0.67
S006,tech,finance,0.74,0.96,0.62,0.31
S007,news|finance,news,0.23,0.74,0.79,0.51
S008,news|sports|finance,tech,0.9,0.12,0.3,0.18
S009,tech,tech|sports|finance,0.79,0.43,0.72,0.87
S010,finance|tech,finance|sports,0.97,0.62,0.98,0.01
S011,,sports|tech,0.46,0.5,0.44,0.31
S012,sports|tech,finance|sports,0.44,0.75,0.47,0.3
S013,tech|news|finance,sports|tech,0.97,0.96,0.7,0.27
S014,sports|tech|finance,finance|news|tech,0.45,0.15,0.24,0.65
S015,news|finance,news|finance,0.55,0.74,0.43,0.38
S016,finance|news,tech|finance|sports,0.71,0.23,0.47,0.67
S017,news,finance|news|tech,0.97,0.0,0.47,0.45
S018,sports|tech|finance,news|tech,0.18,0.18,0.77,0.91
S019,news,finance,0.78,0.55,0.06,0.56
S020,finance|sports,news,0.74,0.44,0.65,0.89
S021,news|tech,invalid,0.74,0.62,0.06,0.15
S022,news|sports,tech|sports|news,0.98,0.13,0.19,0.02
S023,sports,tech|finance|news,0.29,0.93,0.32,0.39
S024,news|finance|sports,sports,0.66,0.52,0.19,0.86
S025,tech|news,tech,0.32,0.25,0.08,0.37
S026,finance,tech,0.85,0.71,0.02,0.61
S027,sports|finance|news,finance|tech|sports,0.17,0.2,0.77,0.86
S028,tech|sports,finance|sports,0.59,0.28,0.48,0.7
S029,finance|tech|news,finance|sports,0.46,0.52,0.65,0.14
S030,sports|finance,tech|finance,0.49,0.21,0.33,0.21
S031,news,news|tech|sports,1.5,0.92,0.51,0.38
S032,sports,news,0.96,0.67,0.25,0.86
S033,finance|sports,tech|news|sports,0.54,0.31,0.77,0.98
S034,news|finance|tech,finance,0.23,0.54,0.58,0.68
S035,tech,finance|news|sports,0.02,0.02,0.93,0.06
S036,news,sports|tech|news,0.65,0.88,0.24,0.75
S037,sports|tech,news,0.48,0.55,0.69,0.74
S038,tech|finance,news|sports|tech,0.11,0.06,0.74,0.85
S039,sports|tech|news,news|finance|sports,0.25,0.25,0.09,0.97
S040,finance|sports|tech,sports,0.68,0.37,0.36,0.88
S041,finance,sports,0.7,-0.3,0.08,0.67
S042,tech|sports|news,tech|finance,0.21,0.44,0.04,0.78
S043,sports,tech,0.39,0.52,0.7,0.72
S044,news,news|sports,0.95,0.86,0.57,0.62
S045,finance|news|sports,sports|tech,0.27,0.5,0.26,0.67
S046,tech|news|sports,tech,0.67,0.78,0.99,0.91
